fiscal_year,quarter_num,year_quarter,inflation_net,gdp_growth_net,ai_net,unemployment_net,uncertainty_net,inflation_net_zscore,gdp_growth_net_zscore,ai_net_zscore,unemployment_net_zscore,uncertainty_net_zscore
2021,2,2021-Q2,-0.0007026172492534692,0.0,0.0,0.0,0.0,-2.5447922232501363,-0.15043520603314237,-1.3871012884382659,0.36707590902829623,0.6134777810089763
2022,1,2022-Q1,-0.0005897095680377414,0.0,0.0,0.0,0.0007371369600471767,-1.8740532143066388,-0.15043520603314237,-1.3871012884382659,0.36707590902829623,3.753615209482157
2022,2,2022-Q2,-0.00046812107051958724,-4.065921765675024e-05,0.00013964327155636364,1.9162753144655274e-06,-0.0004009383012667199,-1.1517449758756886,-1.426993452377273,-1.1974386883302923,0.7186097391142431,-1.094483472535422
2022,3,2022-Q3,-0.0005460086228933031,-8.420715947440863e-05,0.00014027694168150713,-3.232534919309693e-06,-0.0003595851735928394,-1.6144435197273153,-2.7942476063542605,-1.1965780416109337,-0.22592102230693006,-0.9183228524182713
2022,4,2022-Q4,-0.0004614169505454587,-5.2682846393595755e-05,0.0002686440168192369,-1.551057680947715e-05,-0.00028448716615210297,-1.111918502257002,-1.804493642975559,-1.0222306995046542,-2.4782837485940403,-0.598412066838721
2023,1,2023-Q1,-0.00031575112044266264,-2.203163726992129e-05,0.0005662327161391379,-1.0008628162429985e-05,-0.0002670477189537221,-0.24657653908796812,-0.8421521120201778,-0.6180476275477562,-1.4689710124582447,-0.5241215837295674
2023,2,2023-Q2,-0.000274295524553925,-7.262380399878427e-06,0.0008184112452187976,-3.6339544875922882e-06,-0.00019076367889440273,-0.00030555909638972173,-0.37844873216191294,-0.2755403589655565,-0.299560001656401,-0.1991584054213118
2023,3,2023-Q3,-0.00022969651649688459,2.370393277400585e-06,0.0007519881308377945,-6.3841116517072035e-06,-0.000280412969968666,0.26463916514151586,-0.07601308825188594,-0.3657558089500946,-0.8040664647630694,-0.5810563560007591
2023,4,2023-Q4,-0.00019231223208783944,1.1519829949217132e-05,0.0008539045155260609,-1.8412034767439655e-06,-0.0001906774154239563,0.4867241252132305,0.21124745206182405,-0.22733362578189872,0.02931373818496291,-0.1987909307633574
2024,1,2024-Q1,-0.00016123503906689067,1.4957382841724765e-05,0.001151374586748549,7.083362369944255e-07,-0.000127268666010415,0.6713411984111993,0.31917467607338107,0.17668832625027653,0.4970176499147135,0.07132466256328124
2024,2,2024-Q2,-0.00014865092616726073,1.0525117962025849e-05,0.0009800047732336746,4.01695455135696e-06,-0.0001695253493283192,0.7460983391464137,0.18001694977557123,-0.05606506064048245,1.1039718070551092,-0.10868502367087118
2024,3,2024-Q3,-0.00015176010338179515,2.430372770680281e-05,0.001044054461371728,-4.668703620128122e-06,-0.00012993996501105571,0.7276279709566538,0.6126174498969126,0.03092681697006785,-0.48938101693148783,0.059945168074200014
2024,4,2024-Q4,-0.0001396841250687656,3.4920020340375744e-05,0.0012073977614008094,8.257564314861481e-07,-0.00013849445994982724,0.7993664889962602,0.9459321737905245,0.2527786444763294,0.5185579632441814,0.023503785814379972
2025,1,2025-Q1,-0.00019306992342416377,-7.922741730599299e-06,0.0012142042677695682,-5.311865248984056e-06,-0.0004606160954589451,0.4822229864905227,-0.3991817848589699,0.26202319798157453,-0.6073667098271367,-1.3487055307805176
2025,2,2025-Q2,-0.00014792209418281894,3.1880653111331055e-05,0.0008609026216716624,2.117283220922153e-06,-0.0003349672894083361,0.7504280360958777,0.8505065969223242,-0.21782884268269556,0.7554839182579449,-0.8134528706815944
2025,3,2025-Q3,-0.0001355801277621067,2.9280883215373834e-05,0.0012458528888569759,-5.838658235564656e-07,-0.00013259363438322815,0.8237466822349796,0.7688828498227429,0.30500815313458374,0.25996781883806364,0.04864077422340422
2025,4,2025-Q4,-0.00014576949929571666,2.937304212048629e-05,0.001344585006955227,1.8992076213687473e-06,-0.00012195843891098502,0.7632157343789836,0.7717763194238684,0.439105485744867,0.7154787320612632,0.09394575439884115
2026,1,2026-Q1,-0.00019916022732239939,2.4046067007675294e-05,0.0015307319903629037,-1.3404337546354682e-06,-8.249644159040518e-05,0.4460429466838223,0.6045277986643975,0.6919291304638017,0.12117814674620052,0.2620503285891388
2026,2,2026-Q2,-0.0001880049625078835,2.2582534271931412e-05,0.0020553377752295806,-8.017157345469437e-06,-3.700470957227424e-05,0.512311877066819,0.5585779528414723,1.4044453589978643,-1.1036428372707514,0.4558410325406302
2026,3,2026-Q3,-0.00023852386795686383,2.589184926804079e-05,0.0025673583783055324,-4.52793981725933e-06,-9.079352468607173e-05,0.21219942936703207,0.6624789522088903,2.0998684739528954,-0.46355840241133417,0.2267054977259744
2026,4,2026-Q4,-0.000129836113756203,5.3735142022398114e-05,0.0027060567690098485,1.1556203019563596e-05,3.8184210648225777e-05,0.8578695534178192,1.5366616595844143,2.288247742918636,2.487019884746121,0.7761390984194126
