period_year,period_quarter,year_quarter,sentence_count,token_count,avg_sentence_length,long_word_share,complexity_score,demand_net,pricing_net,supply_pressure_net,capex_net,inflation_net,gdp_growth_net,ai_net,unemployment_net,uncertainty_net,rates_net,financial_conditions_net,overall_net_tone,hawkish_dovish_net,demand_raw,demand_zscore,inflation_raw,inflation_zscore,employment_raw,employment_zscore,capex_raw,capex_zscore,ai_raw,ai_zscore,hawkish_dovish_raw,hawkish_dovish_zscore
2020,1,2020-Q1,116.87234042553192,2511.81914893617,21.85576617724196,0.212649018138168,4.733163915928431,-3.4559024526054132e-06,1.748137569157856e-05,-0.00012778055703231044,0.0012578516194489077,-0.0026726278658061563,0.0004697796414866233,8.996064228819934e-05,0.00019256644559113343,-0.0005394113929760444,0.0002767558706487042,-2.281149746575377e-05,0.0013176491299845747,-0.1097046865663887,0.00023316186951700894,-0.08099023434337355,-0.0009276423490489627,1.8287402816299028,0.00019256644559113343,-0.26070947056954646,0.0012578516194489077,1.4301843844555229,8.996064228819934e-05,-0.6112343304969144,-0.1097046865663887,-1.0511373405313897
2020,2,2020-Q2,96.82666666666667,2174.72,23.57571405242263,0.2163148408903035,5.16245405466996,-1.1376352077158122e-05,-4.25475450074173e-05,-0.00023065502035037595,0.0008154638112827979,-0.002769910800066722,5.7134517883506294e-05,1.0605433992530767e-05,-7.018750935685877e-05,-0.0012468227435327589,0.0002987896325014258,-1.3535275606280477e-05,-0.0014943092012917587,-0.33930049194738854,2.2879082903174088e-05,-1.3865884171074523,-0.0010143711218081719,1.711722728931551,-7.018750935685877e-05,-1.4855941752751198,0.0008154638112827979,-0.7380535411320677,1.0605433992530767e-05,-0.7796108090734911,-0.33930049194738854,-1.9483690086855532
2020,3,2020-Q3,142.73333333333332,3111.48,22.861406550405682,0.22469680126336702,5.182378458124844,-2.0545855662477806e-06,-1.2356067083339184e-05,-0.00021694336042818137,0.0010728469539504739,-0.003631132010416228,0.00040252112561098616,2.7252792720474108e-05,-6.631641730848384e-05,-0.0007564275741074952,0.0006298799195199376,0.00015057190613982732,-0.000648215937985784,-0.28636092957908815,0.0002002332700223692,-0.28543644866959805,-0.0012868104793092494,1.3441378334090646,-6.631641730848384e-05,-1.4675482378067368,0.0010728469539504739,0.5234366740987977,2.7252792720474108e-05,-0.7442883179552221,-0.28636092957908815,-1.7414878255722996
2020,4,2020-Q4,123.53271028037383,2762.92523364486,23.234424878232605,0.2259927314019376,5.276861238253213,-6.646150391018402e-05,-1.9761251928711565e-05,-0.00016500430786331498,0.001414674325259273,-0.0028603955964771007,0.0002154471885180622,0.00028158939712358516,-6.0169134224001826e-05,-0.0007061323975375435,0.0005350360787149987,6.717869487485167e-05,9.685276964195893e-05,-0.34685199581433773,7.449284230393909e-05,-1.066130278025384,-0.0010150537187563757,1.7108017447896453,-6.0169134224001826e-05,-1.4388913407976405,0.001414674325259273,2.1988062407875666,0.00028158939712358516,-0.20463499535336904,-0.34685199581433773,-1.9778793405505974
2021,1,2021-Q1,118.93548387096774,2724.6021505376343,23.836305303756784,0.22549775058623264,5.431096638033633,-2.2655557482217516e-05,-1.9301027672157328e-05,-0.00035174513322282404,0.0009699563965586628,-0.0047668537672808774,0.00040236691536938134,6.854012319711807e-05,4.340615791524427e-05,-0.000734637466141319,0.0005621120939954182,4.443681699721218e-05,0.0008236170567743075,-0.09782725086332897,0.00018985567894358192,-0.3498685606465752,-0.001712633309391953,0.7696024874782879,4.340615791524427e-05,-0.9560525909417713,0.0009699563965586628,0.019147892618626063,6.854012319711807e-05,-0.6566845492198041,-0.09782725086332897,-1.0047218085421805
2021,2,2021-Q2,127.78571428571429,2812.464285714286,23.062785665032195,0.22081259605197034,5.107120201085567,-2.0132398909334353e-05,-7.838163282310436e-06,-0.0005187054252458881,0.0009888681145849133,-0.0037335691586707176,0.0002791139001498068,8.629653512582064e-05,-1.5209432332288919e-05,-0.0003881213336103951,0.0006504646926843436,3.941352709644183e-06,0.001635178852441747,-0.07353587756489542,0.00012949075062023622,-0.7246607250017855,-0.0014200375823996386,1.1643830754348956,-1.5209432332288919e-05,-1.2293019125959541,0.0009888681145849133,0.11183829571205448,8.629653512582064e-05,-0.6190088606680137,-0.07353587756489542,-0.9097941623243342
2021,3,2021-Q3,112.42857142857143,2674.1785714285716,24.118978199819395,0.21678142103581363,5.2622873930505145,3.954627635452359e-05,4.5850280687467826e-05,-0.0013310503876454746,0.001354088412312802,-0.007053583296470963,0.00044085810146636295,8.990994423173618e-05,5.03235710724643e-05,-0.0006280889047922185,0.0007879572149625042,-2.782536825074415e-06,0.00211816677930603,0.10963835210337515,0.00024020218891044327,-0.03727848620572639,-0.0027795944678096567,-0.6699795521393608,5.03235710724643e-05,-0.9238055651107615,0.001354088412312802,1.9018616329525309,8.990994423173618e-05,-0.6113419020149191,0.10963835210337515,-0.19397220131163992
2021,4,2021-Q4,106.15254237288136,2497.1525423728813,23.459903507655454,0.2187620439167707,5.16298955063211,7.142687801469445e-05,9.139765461233297e-05,-0.0020454143864865573,0.0011123252566785807,-0.006080359020841267,0.00037881903427658777,0.00012646410247422563,5.5668037308362694e-05,-0.00044977065852850993,0.0004543392861890434,-2.4364564874739834e-05,0.0005884555195046451,0.21611885903137146,0.00022512295614564111,-0.1309020262597033,-0.0026781252509051633,-0.5330736665995331,5.5668037308362694e-05,-0.8988911734379013,0.0011123252566785807,0.7169283382740644,0.00012646410247422563,-0.5337810137708987,0.21611885903137146,0.2221402912418206
2022,1,2022-Q1,107.0,2465.0666666666666,24.149683600994273,0.21842625174634786,5.53430189582015,9.462827311408957e-05,0.00011267247114094992,-0.0011727071940629559,0.0010988927887620188,-0.00650021270413992,0.0004059990874424657,3.854040551288258e-05,0.00035095619823200186,-0.0010274702905557333,0.0002491975842050171,2.2039816867054495e-06,0.0016295602836453218,0.574581712025791,0.0002503136802782776,0.025501472950524576,-0.0025200824756873084,-0.3198367189374859,0.00035095619823200186,0.47765880796045646,0.0010988927887620188,0.6510929200430264,3.854040551288258e-05,-0.7203381761265931,0.574581712025791,1.6229682507499152
2022,2,2022-Q2,124.09302325581395,2646.4767441860463,22.836816317582244,0.21126989626680928,4.864230882118331,2.878921311130518e-05,0.0001556168777915256,-0.0008639912020599308,0.0010466790082022447,-0.007445880650697572,0.00030987384258490875,3.4847460828338536e-05,0.0002597240058851185,-0.0011272075838251355,-0.00026420945907573305,8.551004872846193e-06,0.00025129300647140407,0.3437792423098221,0.00016933152784810696,-0.47729836507577184,-0.002718084991655326,-0.5869887736658683,0.0002597240058851185,0.052360102163342276,0.0010466790082022447,0.39518193615465275,3.4847460828338536e-05,-0.7281738939693948,0.3437792423098221,0.7210210894169031
