period_year,period_quarter,demand_net,pricing_power_net,capex_net,supply_chain_pressure_density,labor_pressure_density,automation_density,inflation_net,gdp_growth_net,ai_net,unemployment_net,period_label,demand_raw,demand_zscore,inflation_raw,inflation_zscore,employment_raw,employment_zscore,capex_raw,capex_zscore,ai_raw,ai_zscore
2022,3,-2.3151959914687623e-06,0.0001259487245087979,0.0008036858269845334,0.0013050470404415333,7.013114524160001e-05,0.0005213531973290333,-0.0005385371248482,-5.133696127108744e-05,0.0002126709722044,1.6957623193409347e-06,2022-Q3,-2.68260786312781e-05,-0.6027362271202809,0.00029748621336737706,0.5475344812097361,3.591345378047047e-05,0.6210737063871448,0.0008036858269845334,-0.12287315083184222,0.00036701208476671665,-1.4655071572437526
2022,4,0.0001045259747047,0.00037521083988479995,0.0010052093118554,0.0021591084901892,3.484199156823333e-05,0.0010003018262952001,-0.0005079960743779,-8.723803883781124e-05,0.0002170669022173,-6.040559644597083e-06,2022-Q4,8.643967933444379e-06,-0.33113830211553935,0.0006754410852320333,2.1455442920734438,1.4400715961818124e-05,-0.12136612135513714,0.0010052093118554,0.7108035508218148,0.00060868436425625,-0.7140290052443149
2023,1,-0.00016473664911144248,-0.00027424194217976996,0.0008180752684462334,0.0011335420013853,0.00020459311544163334,0.0006079279873542242,-0.0004131354824858,-3.977165228434094e-05,0.0004457717878071,-2.0915561087522156e-05,2023-Q1,-0.0001022541506978917,-1.1802970099351326,0.00014872152557324336,-0.08144915758360405,9.183877717705559e-05,2.551148242645921,0.0008180752684462334,-0.06334588479575044,0.0005268498875806621,-0.9684927005920275
2023,2,4.904845987835982e-05,-0.0006373826336890598,0.0010369185754012,0.00035024013710415,0.0,0.001015721132075,-0.0002651131192879,-1.6677773847540267e-05,0.0009420667752963,-1.0017935274562496e-05,2023-Q2,1.618534301540978e-05,-0.2733931897654087,-0.00018408520529093658,-1.4885706438569235,-5.008967637281248e-06,-0.7912261024196149,0.0010369185754012,0.8419806901099153,0.00097889395368565,0.43713495408319614
2023,3,-7.359163998966667e-05,5.21871559325e-05,0.0006720266216004,0.0013124928339879997,0.00016891143791166667,0.0006672385854541666,-0.0002297218995992,4.7540217573555053e-07,0.0010847622384986,-1.4901360615281288e-06,2023-Q3,-3.655811890696556e-05,-0.6772554962200892,0.0003783193634404332,0.8893005926570786,8.371065092506927e-05,2.270633288888618,0.0006720266216004,-0.6675303264325878,0.0008760004119763833,0.11718825295686537
2023,4,-0.00025632575341460003,0.00016558429852626665,0.0007949751387371333,0.0009303960818626667,5.97050570183e-05,0.0007530786489934334,-0.0002089793886806,9.490177720730363e-06,0.0008903495212726,-3.032230293029191e-06,2023-Q4,-0.00012341778784693484,-1.3423492340489342,0.0002956669972361111,0.5398427554449587,2.8336413362635405e-05,0.3595776276436825,0.0007949751387371333,-0.15890814621651983,0.0008217140851330167,-0.05161467579135035
2024,1,0.0,0.00044431375769266664,0.0009506559132232999,0.0006264298195253334,0.0,0.0001200876639947,-0.0001669046853484,2.3052762712638468e-05,0.0009171832244661,-1.2844190095668272e-06,2024-Q1,1.1526381356319234e-05,-0.30906735548652553,0.0003012796306232,0.5635732161031323,-6.422095047834136e-07,-0.640522124942935,0.0009506559132232999,0.4851231668965906,0.0005186354442304,-0.9940354509711681
2024,2,0.0003849114703618,0.00032964610533305,0.00032372174086755,0.00020134228187915,0.0,0.00013422818791945,-0.0001749201390393,1.878888062818597e-05,0.0010789522440689,1.2922289014881387e-06,2024-Q2,0.000201850175494993,1.148262210539597,0.00011868941605763335,-0.2084262366462697,6.461144507440694e-07,-0.5960599544985596,0.00032372174086755,-2.10842275802834,0.0006065902159941751,-0.7205407436585051
2024,3,0.0,0.00011171484544843333,0.0008160068649638667,0.0004740172322437,3.9691990156366664e-05,0.00019680059731954497,-0.0001375853080961,1.0881002456518878e-05,0.0010036341455117,4.310898354805909e-06,2024-Q3,5.440501228259439e-06,-0.3556675879275106,0.00014938225653201112,-0.07865555804818027,2.2001444255586286e-05,0.14094746479605738,0.0008160068649638667,-0.07190260360186558,0.0006002173714156224,-0.7403570563816106
2024,4,0.0,2.7383006106410362e-05,0.0010523579094668667,0.00038336208548973334,2.7383006106410362e-05,0.0002321262766945,-0.0001231994285333,2.47509779827883e-05,0.0010729799566854,-4.180541995706554e-06,2024-Q4,1.237548899139415e-05,-0.30256564787328,9.584855435428124e-05,-0.30499840387476423,1.1601232055351903e-05,-0.21798089753123032,0.0010523579094668667,0.905851226627492,0.00065255311668995,-0.5776194464855271
2025,1,0.0003695491500369333,0.0002302733840202333,0.0007758025089779,0.00036156219344856663,0.0,0.0002948474959244667,-0.0001494103087393,3.4031773979566825e-05,0.0014224627919819,7.98855526819862e-07,2025-Q1,0.00020179046200825005,1.147804978010607,0.0001474750895765,-0.08671914376365479,3.99427763409931e-07,-0.6045735162401933,0.0007758025089779,-0.2382228461878236,0.0008586551439531833,0.06325327130509602
2025,2,,,,,,,-0.0001633161129398,1.0001588122270752e-05,0.0012896691150742,-6.424336987038732e-06,2025-Q2,1.0001588122270752e-05,-0.3207428597087478,-0.0001633161129398,-1.4007580085120996,-6.424336987038732e-06,-0.8400728175650273,,0.0,0.0012896691150742,1.4034880023553669
2025,3,0.0008172160174339,0.0005448106782892,0.0013620266957232,0.0,0.0,0.0008172160174339,-0.0001671299455641,2.662799494689735e-05,0.0008043019521606,2.1856375386527705e-06,2025-Q3,0.00042192200619039865,2.8333756614002334,0.00012589357757503334,-0.17796672509914913,1.0928187693263852e-06,-0.5806434566015587,0.0013620266957232,2.1869111115173303,0.00081075898479725,-0.08567947864205101
