sector,company_name,fiscal_year,fiscal_period,qa_detected,sentence_count,token_count,avg_sentence_length,long_word_share,complexity_score,numeric_token_share,overall_positive_density,overall_negative_density,overall_net_tone,overall_token_count,prepared_positive_density,prepared_negative_density,prepared_net_tone,prepared_token_count,qa_positive_density,qa_negative_density,qa_net_tone,qa_token_count,management_qa_positive_density,management_qa_negative_density,management_qa_net_tone,management_qa_token_count,analyst_question_positive_density,analyst_question_negative_density,analyst_question_net_tone,analyst_question_token_count,demand_positive_density,demand_negative_density,demand_net,pricing_positive_density,pricing_negative_density,pricing_power_net,capex_positive_density,capex_negative_density,capex_net,gdp_growth_positive_density,gdp_growth_negative_density,gdp_growth_net,ai_positive_density,ai_negative_density,ai_net,unemployment_positive_density,unemployment_negative_density,unemployment_net,inflation_positive_density,inflation_negative_density,inflation_net,supply_chain_positive_density,supply_chain_pressure_density,supply_chain_net,labor_pressure_density,automation_density,uncertainty_positive_density,uncertainty_density,uncertainty_net,macro_risk_positive_density,macro_risk_density,macro_risk_net,guidance_raised,guidance_lowered,qna_reality_gap,analyst_management_gap,growth_signal,margin_signal,credibility_signal,composite_signal,relative_path,fiscal_year_num,quarter_num
Unassigned,3d-systems,2022,Q2,1,591,10178,17.22165820642978,0.1566446181599519,2.697680073827395,0.010414619768127334,0.009628610729023384,0.004421300844959717,0.005207309884063667,10178,0.012952101661779082,0.005620723362658847,0.007331378299120235,4092,0.007394019060138022,0.003614853762734144,0.0037791652974038777,6086,0.007852375343541421,0.0035335689045936395,0.0043188064389477815,5094,0.0051440329218107,0.00411522633744856,0.00102880658436214,972,9.825112988799372e-05,0.0,9.825112988799372e-05,0.0002947533896639811,0.00019650225977598743,9.825112988799372e-05,0.0005895067793279622,0.0,0.0005895067793279622,9.825112988799372e-05,9.825112988799372e-05,0.0,9.825112988799372e-05,0.0,9.825112988799372e-05,0.0,0.0,0.0,0.0,0.0009825112988799372,-0.0009825112988799372,0.0,0.0026527805069758302,-0.0026527805069758302,0.0,0.00019650225977598743,0.0008842601689919434,0.0011790135586559245,-0.0002947533896639811,0.0,0.0014737669483199057,-0.0014737669483199057,0,0,-0.0030125718601724536,0.0032899998545856414,0.004421300844959717,-0.002358027117311849,-0.0009015855642427366,0.0011616881634051316,3d-systems\2022\Q2\DDD_2022-08-09_Q2.txt,2022,2.0
Unassigned,3d-systems,2022,Q3,0,47,904,19.23404255319149,0.20090293453724606,3.864175591950435,0.015486725663716814,0.014380530973451327,0.0022123893805309734,0.012168141592920354,904,0.014380530973451327,0.0022123893805309734,0.012168141592920354,904,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0011061946902654867,0.0,0.0011061946902654867,0.0011061946902654867,0.0,0.0011061946902654867,0.0,0.0011061946902654867,-0.0011061946902654867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022123893805309734,-0.0022123893805309734,0.0,0.0022123893805309734,-0.0022123893805309734,0.0,0.0,0.0,0.0011061946902654867,-0.0011061946902654867,0.0,0.004424778761061947,-0.004424778761061947,0,0,-0.012168141592920354,0.0,0.008849557522123894,-0.0011061946902654867,-0.01327433628318584,-0.0055309734513274336,3d-systems\2022\Q3\DDD_2022-11-09_Q3.txt,2022,3.0
Unassigned,3d-systems,2022,Q4,1,579,10701,18.481865284974095,0.1735433375205334,3.2074045851592885,0.021493318381459677,0.009812167087188113,0.004205214465937763,0.005606952621250351,10701,0.0124712202609363,0.0061396776669224865,0.006331542594013815,5212,0.007287301876480233,0.0023683731098560756,0.004918928766624158,5489,0.008040431886055594,0.002526992878474615,0.005513439007580979,4353,0.004432624113475178,0.0017730496453900709,0.0026595744680851063,1128,9.344921035417251e-05,0.0,9.344921035417251e-05,0.0,0.0,0.0,0.001308288944958415,0.0,0.001308288944958415,0.0,0.0002803476310625175,-0.0002803476310625175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006541444724792075,-0.0006541444724792075,0.0,0.0008410428931875525,-0.0008410428931875525,0.0,9.344921035417251e-05,0.00018689842070834502,0.00046724605177086255,-0.0002803476310625175,0.0,0.0007475936828333801,-0.0007475936828333801,0,0,-0.000818103586432836,0.0028538645394958722,0.006261097093729557,-0.0007475936828333801,0.0015685149012921737,0.007082018312188351,3d-systems\2022\Q4\DDD_2023-03-01_Q4.txt,2022,4.0
Unassigned,3d-systems,2023,Q1,1,600,10194,16.99,0.16552557390253725,2.8122795006041077,0.01638218559937218,0.007847753580537572,0.003923876790268786,0.003923876790268786,10194,0.010179640718562874,0.005389221556886228,0.004790419161676647,5010,0.0055941358024691355,0.002507716049382716,0.0030864197530864196,5184,0.004442250740375123,0.0019743336623889436,0.0024679170779861796,4052,0.009760425909494233,0.0044365572315882874,0.005323868677905945,1127,9.809691975671964e-05,0.0,9.809691975671964e-05,0.0,9.809691975671964e-05,-9.809691975671964e-05,0.0015695507161075143,0.0,0.0015695507161075143,0.0,9.809691975671964e-05,-9.809691975671964e-05,0.0005885815185403178,0.0,0.0005885815185403178,0.0,0.0,0.0,0.0,0.0004904845987835982,-0.0004904845987835982,0.0,0.00019619383951343929,-0.00019619383951343929,0.0,0.0006866784382970375,0.0005885815185403178,0.0,0.0005885815185403178,0.0,0.0007847753580537571,-0.0007847753580537571,1,0,-0.002322502083690467,-0.002855951599919765,0.004806749068079263,0.0003923876790268785,-0.005178453683610232,2.068306349590869e-05,3d-systems\2023\Q1\DDD_2023-05-09_Q1.txt,2023,1.0
Unassigned,3d-systems,2023,Q2,1,480,8534,17.779166666666665,0.16744408563568952,2.9770163058645296,0.014295758143895007,0.00796812749003984,0.004101242090461683,0.003866885399578158,8534,0.00914694770332074,0.005170013919268244,0.003976933784052496,5029,0.006276747503566334,0.0025677603423680455,0.003708987161198288,3505,0.005943536404160475,0.002228826151560178,0.003714710252600297,2692,0.007425742574257425,0.0037128712871287127,0.0037128712871287127,808,0.00011717834544176236,0.00011717834544176236,0.0,0.00023435669088352472,0.0,0.00023435669088352472,0.0009374267635340989,0.0,0.0009374267635340989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003515350363252871,-0.0003515350363252871,0.0,0.0005858917272088118,-0.0005858917272088118,0.0,0.0,0.0,0.0005858917272088118,-0.0005858917272088118,0.0,0.0008202484180923366,-0.0008202484180923366,0,0,-0.0002622235314521989,1.8389654715842904e-06,0.00398406374501992,-0.00035153503632528706,-0.0008462762931894264,0.002786252415505207,3d-systems\2023\Q2\DDD_2023-08-09_Q2.txt,2023,2.0
Unassigned,3d-systems,2023,Q3,1,490,8746,17.848979591836734,0.1936054742803209,3.4556601592973197,0.01920878115710039,0.00914703864623828,0.004802195289275097,0.004344843356963183,8746,0.011879507848960543,0.007000424268137463,0.00487908358082308,4714,0.005952380952380952,0.002232142857142857,0.003720238095238095,4032,0.006099331977926227,0.0014522218995062445,0.004647110078419983,3443,0.005136986301369863,0.00684931506849315,-0.0017123287671232876,584,0.0,0.0,0.0,0.0,0.0,0.0,0.0012577178138577635,0.0,0.0012577178138577635,0.0001143379830779785,0.0,0.0001143379830779785,0.0,0.0,0.0,0.0,0.0001143379830779785,-0.0001143379830779785,0.0,0.0001143379830779785,-0.0001143379830779785,0.0,0.001143379830779785,-0.001143379830779785,0.0,0.0,0.0,0.000228675966155957,-0.000228675966155957,0.0,0.0005716899153898925,-0.0005716899153898925,0,0,-0.00023197350240309732,0.00635943884554327,0.005030871255431054,-0.001143379830779785,0.005898789376984216,0.009786280801635485,3d-systems\2023\Q3\DDD_2023-11-08_Q3.txt,2023,3.0
Unassigned,3d-systems,2023,Q4,0,139,3203,23.0431654676259,0.221224751522924,5.097718554877163,0.017795816422104278,0.013112706837339994,0.004995316890415236,0.008117389946924758,3203,0.013112706837339994,0.004995316890415236,0.008117389946924758,3203,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.001248829222603809,0.0,0.001248829222603809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009366219169528567,-0.0009366219169528567,0.0,0.001248829222603809,-0.001248829222603809,0.0,0.0,0.00031220730565095225,0.00031220730565095225,0.0,0.0,0.0015610365282547611,-0.0015610365282547611,0,0,-0.008117389946924758,0.0,0.007805182641273806,-0.001248829222603809,-0.00842959725257571,-0.0018732438339057137,3d-systems\2023\Q4\DDD_2024-02-28_Q4.txt,2023,4.0
Unassigned,3d-systems,2024,Q2,1,490,8398,17.13877551020408,0.17036129822412738,2.9197840458902484,0.020600142891164564,0.00714455822814956,0.0042867349368897354,0.0028578232912598238,8398,0.009682885499878963,0.006535947712418301,0.0031469377874606633,4131,0.004687133817670494,0.0021092102179517225,0.002577923599718772,4267,0.004116436342252279,0.0023522493384298734,0.0017641870038224052,3401,0.006984866123399301,0.0011641443538998836,0.005820721769499418,859,0.0,0.0,0.0,0.00011907597046915932,0.0,0.00011907597046915932,0.0010716837342224339,0.0,0.0010716837342224339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011907597046915932,0.0005953798523457966,-0.0004763038818766373,0.0,0.0004763038818766373,-0.0004763038818766373,0.00011907597046915932,0.00011907597046915932,0.00011907597046915932,0.0004763038818766373,-0.00035722791140747797,0.0,0.0011907597046915933,-0.0011907597046915933,0,0,-0.001382750783638258,-0.004056534765677013,0.002738747320790664,-0.00035722791140747797,-0.005915589431191908,-0.003534070021808722,3d-systems\2024\Q2\DDD_2024-08-30_Q2.txt,2024,2.0
Unassigned,3d-systems,2024,Q3,0,63,1436,22.793650793650794,0.22494592645998557,5.127338895183163,0.0201949860724234,0.010445682451253482,0.004874651810584958,0.005571030640668524,1436,0.010445682451253482,0.004874651810584958,0.005571030640668524,1436,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.002785515320334262,0.0006963788300835655,0.0020891364902506965,0.0,0.0,0.0,0.0006963788300835655,0.0,0.0006963788300835655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006963788300835655,0.0,0.0006963788300835655,-0.0006963788300835655,0.0,0.0006963788300835655,-0.0006963788300835655,0,0,-0.005571030640668524,0.0,0.006963788300835655,0.0006963788300835655,-0.006267409470752089,0.0013927576601671316,3d-systems\2024\Q3\DDD_2024-11-27_Q3.txt,2024,3.0
Unassigned,3d-systems,2024,Q4,1,504,9162,18.178571428571427,0.16515202513182992,3.0022278854321938,0.020192097795241212,0.010805500982318271,0.0026195153896529143,0.008185985592665358,9162,0.010922871154703521,0.0035666518056174765,0.0073562193490860454,4486,0.0106928999144568,0.001710863986313088,0.008982035928143712,4676,0.011292016806722689,0.0015756302521008404,0.009716386554621849,3808,0.008215962441314555,0.002347417840375587,0.005868544600938967,852,0.0,0.0,0.0,0.0,0.0,0.0,0.0013097576948264572,0.0,0.0013097576948264572,0.0,0.0,0.0,0.0003274394237066143,0.0,0.0003274394237066143,0.0,0.00010914647456887143,-0.00010914647456887143,0.0,0.0,0.0,0.0,0.0004365858982754857,-0.0004365858982754857,0.0,0.0003274394237066143,0.00010914647456887143,0.0009823182711198428,-0.0008731717965509714,0.0,0.0006548788474132286,-0.0006548788474132286,0,0,0.0023601672055358035,0.003847841953682882,0.008840864440078585,-0.00010914647456887141,0.005225690888098843,0.013957408853608556,3d-systems\2024\Q4\DDD_2025-03-27_Q4.txt,2024,4.0
