period_year,period_quarter,period_label,inflation_net,gdp_growth_net,ai_net,unemployment_net,uncertainty_net,inflation_net_zscore,gdp_growth_net_zscore,ai_net_zscore,unemployment_net_zscore,uncertainty_net_zscore
2022,3,2022-Q3,-0.0005385371248482492,-5.133696127108744e-05,0.00021267097220440393,1.6957623193409347e-06,-0.0003548788735377968,-2.366565618516269,-1.6005953392122225,-2.026454271308944,0.7720108464317869,-0.9776226649942132
2022,4,2022-Q4,-0.0005079960743779414,-8.723803883781124e-05,0.00021706690221732607,-6.040559644597083e-06,-0.0003520806503209434,-2.1284283229726104,-2.678822494016069,-2.0142481307210285,-0.5400140730917417,-0.9536280061303842
2023,1,2023-Q1,-0.0004131354824858213,-3.977165228434094e-05,0.0004457717878071714,-2.0915561087522153e-05,-0.0002999397683058605,-1.3887731880314527,-1.2532511632600964,-1.3792052664245704,-3.0627080175836436,-0.5065219034878897
2023,2,2023-Q2,-0.00026511311928793156,-1.6677773847540267e-05,0.000942066775296387,-1.0017935274562496e-05,-0.00026077048102827007,-0.23460053486103852,-0.5596662201892688,-0.001147296310441509,-1.2145485566803598,-0.1706467379526824
2023,3,2023-Q3,-0.00022972189959921538,4.7540217573555053e-07,0.0010847622384986208,-1.4901360615281288e-06,-0.00015867190242331312,0.04135491568432133,-0.04450006270966668,0.3950739537968623,0.23170524820896676,0.7048447344047607
2023,4,2023-Q4,-0.00020897938868067562,9.490177720730363e-06,0.0008903495212726154,-3.032230293029191e-06,-0.00024248577026044808,0.20309019907701767,0.22624322539944458,-0.14475014521373433,-0.029822913288719416,-0.013856030672715802
2024,1,2024-Q1,-0.0001669046853484306,2.3052762712638468e-05,0.0009171832244661884,-1.2844190095668272e-06,-0.00017042091935042078,0.5311586809415716,0.6335721530738826,-0.07024123521918443,0.26659339011959043,0.6040973560493228
2024,2,2024-Q2,-0.00017492013903939072,1.8788880628185974e-05,0.001078952244068948,1.2922289014881387e-06,-0.00011029340875177957,0.4686598986427634,0.5055137838008776,0.3789413928563727,0.7035744625078343,1.1196884984771998
2024,3,2024-Q3,-0.00013758530809618937,1.0881002456518878e-05,0.0010036341455117446,4.310898354805909e-06,-0.00015733349817744234,0.7597702413939856,0.26801425566762915,0.16980628444899426,1.2155192296748583,0.7163215004855176
2024,4,2024-Q4,-0.00012319942853333119,2.47509779827883e-05,0.0010729799566854144,-4.180541995706554e-06,-0.00015227871721288806,0.8719410541316299,0.6845751296718687,0.36235819448411566,-0.22456837195966162,0.7596660571832652
2025,1,2025-Q1,-0.00014941030873933767,3.4031773979566825e-05,0.001422462791981984,7.98855526819862e-07,-0.00014724273730862673,0.6675673331901872,0.9633078847910801,1.332764140018648,0.6199018639252524,0.802849395495971
2025,2,2025-Q2,-0.00016331611293984903,1.0001588122270752e-05,0.0012896691150742808,-6.4243369870387315e-06,-0.000527674017301515,0.5591398052016238,0.24160255775277448,0.9640370936923994,-0.6050999678074844,-2.4593345252077983
2025,3,2025-Q3,-0.00016712994556419687,2.662799494689735e-05,0.0008043019521606353,2.1856375386527705e-06,-0.0003518028031049143,0.5294022626864657,0.740948107807927,-0.3836776810802682,0.8550901828645502,-0.9512454767007341
2025,4,2025-Q4,-0.00014007710021934555,3.552470139889756e-05,0.0013963071053167363,-6.133319186745717e-07,-0.00011144178844636944,0.7403410263497191,1.008145393656431,1.2601378726142531,0.3804049649901118,1.1098411857782446
2026,1,2026-Q1,-0.00015346688345180794,2.6933084020904808e-05,0.0012989612223052545,1.2228497397640789e-06,-0.00011795727312871796,0.6359370612669069,0.7501109337319518,0.9898384069266511,0.691808252479098,1.053971149626784
2026,2,2026-Q2,-0.00022091751908384847,5.7795817672456905e-06,0.0010025394624197915,-3.2092638580341883e-06,-0.00033864578396960765,0.11000518581517817,0.11480185403345554,0.16676668743987086,-0.059846540790438774,-0.8384245323546449
