period_label,category,raw_score,z_score
2022-Q3,Inflation,-0.0005385371248482492,-2.366565618516269
2022-Q3,GDP / Growth,-5.133696127108744e-05,-1.6005953392122225
2022-Q3,AI,0.00021267097220440393,-2.026454271308944
2022-Q3,Unemployment,1.6957623193409347e-06,0.7720108464317869
2022-Q3,Uncertainty,-0.0003548788735377968,-0.9776226649942132
2022-Q4,Inflation,-0.0005079960743779414,-2.1284283229726104
2022-Q4,GDP / Growth,-8.723803883781124e-05,-2.678822494016069
2022-Q4,AI,0.00021706690221732607,-2.0142481307210285
2022-Q4,Unemployment,-6.040559644597083e-06,-0.5400140730917417
2022-Q4,Uncertainty,-0.0003520806503209434,-0.9536280061303842
2023-Q1,Inflation,-0.0004131354824858213,-1.3887731880314527
2023-Q1,GDP / Growth,-3.977165228434094e-05,-1.2532511632600964
2023-Q1,AI,0.0004457717878071714,-1.3792052664245704
2023-Q1,Unemployment,-2.0915561087522153e-05,-3.0627080175836436
2023-Q1,Uncertainty,-0.0002999397683058605,-0.5065219034878897
2023-Q2,Inflation,-0.00026511311928793156,-0.23460053486103852
2023-Q2,GDP / Growth,-1.6677773847540267e-05,-0.5596662201892688
2023-Q2,AI,0.000942066775296387,-0.001147296310441509
2023-Q2,Unemployment,-1.0017935274562496e-05,-1.2145485566803598
2023-Q2,Uncertainty,-0.00026077048102827007,-0.1706467379526824
2023-Q3,Inflation,-0.00022972189959921538,0.04135491568432133
2023-Q3,GDP / Growth,4.7540217573555053e-07,-0.04450006270966668
2023-Q3,AI,0.0010847622384986208,0.3950739537968623
2023-Q3,Unemployment,-1.4901360615281288e-06,0.23170524820896676
2023-Q3,Uncertainty,-0.00015867190242331312,0.7048447344047607
2023-Q4,Inflation,-0.00020897938868067562,0.20309019907701767
2023-Q4,GDP / Growth,9.490177720730363e-06,0.22624322539944458
2023-Q4,AI,0.0008903495212726154,-0.14475014521373433
2023-Q4,Unemployment,-3.032230293029191e-06,-0.029822913288719416
2023-Q4,Uncertainty,-0.00024248577026044808,-0.013856030672715802
2024-Q1,Inflation,-0.0001669046853484306,0.5311586809415716
2024-Q1,GDP / Growth,2.3052762712638468e-05,0.6335721530738826
2024-Q1,AI,0.0009171832244661884,-0.07024123521918443
2024-Q1,Unemployment,-1.2844190095668272e-06,0.26659339011959043
2024-Q1,Uncertainty,-0.00017042091935042078,0.6040973560493228
2024-Q2,Inflation,-0.00017492013903939072,0.4686598986427634
2024-Q2,GDP / Growth,1.8788880628185974e-05,0.5055137838008776
2024-Q2,AI,0.001078952244068948,0.3789413928563727
2024-Q2,Unemployment,1.2922289014881387e-06,0.7035744625078343
2024-Q2,Uncertainty,-0.00011029340875177957,1.1196884984771998
2024-Q3,Inflation,-0.00013758530809618937,0.7597702413939856
2024-Q3,GDP / Growth,1.0881002456518878e-05,0.26801425566762915
2024-Q3,AI,0.0010036341455117446,0.16980628444899426
2024-Q3,Unemployment,4.310898354805909e-06,1.2155192296748583
2024-Q3,Uncertainty,-0.00015733349817744234,0.7163215004855176
2024-Q4,Inflation,-0.00012319942853333119,0.8719410541316299
2024-Q4,GDP / Growth,2.47509779827883e-05,0.6845751296718687
2024-Q4,AI,0.0010729799566854144,0.36235819448411566
2024-Q4,Unemployment,-4.180541995706554e-06,-0.22456837195966162
2024-Q4,Uncertainty,-0.00015227871721288806,0.7596660571832652
2025-Q1,Inflation,-0.00014941030873933767,0.6675673331901872
2025-Q1,GDP / Growth,3.4031773979566825e-05,0.9633078847910801
2025-Q1,AI,0.001422462791981984,1.332764140018648
2025-Q1,Unemployment,7.98855526819862e-07,0.6199018639252524
2025-Q1,Uncertainty,-0.00014724273730862673,0.802849395495971
2025-Q2,Inflation,-0.00016331611293984903,0.5591398052016238
2025-Q2,GDP / Growth,1.0001588122270752e-05,0.24160255775277448
2025-Q2,AI,0.0012896691150742808,0.9640370936923994
2025-Q2,Unemployment,-6.4243369870387315e-06,-0.6050999678074844
2025-Q2,Uncertainty,-0.000527674017301515,-2.4593345252077983
2025-Q3,Inflation,-0.00016712994556419687,0.5294022626864657
2025-Q3,GDP / Growth,2.662799494689735e-05,0.740948107807927
2025-Q3,AI,0.0008043019521606353,-0.3836776810802682
2025-Q3,Unemployment,2.1856375386527705e-06,0.8550901828645502
2025-Q3,Uncertainty,-0.0003518028031049143,-0.9512454767007341
2025-Q4,Inflation,-0.00014007710021934555,0.7403410263497191
2025-Q4,GDP / Growth,3.552470139889756e-05,1.008145393656431
2025-Q4,AI,0.0013963071053167363,1.2601378726142531
2025-Q4,Unemployment,-6.133319186745717e-07,0.3804049649901118
2025-Q4,Uncertainty,-0.00011144178844636944,1.1098411857782446
2026-Q1,Inflation,-0.00015346688345180794,0.6359370612669069
2026-Q1,GDP / Growth,2.6933084020904808e-05,0.7501109337319518
2026-Q1,AI,0.0012989612223052545,0.9898384069266511
2026-Q1,Unemployment,1.2228497397640789e-06,0.691808252479098
2026-Q1,Uncertainty,-0.00011795727312871796,1.053971149626784
2026-Q2,Inflation,-0.00022091751908384847,0.11000518581517817
2026-Q2,GDP / Growth,5.7795817672456905e-06,0.11480185403345554
2026-Q2,AI,0.0010025394624197915,0.16676668743987086
2026-Q2,Unemployment,-3.2092638580341883e-06,-0.059846540790438774
2026-Q2,Uncertainty,-0.00033864578396960765,-0.8384245323546449
